"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Urban"," !!Total:!!Rural"," !!Total:!!Not defined for this file",
"0400000US01","Alabama","5024279","2900880","2123399","0",
"0400000US02","Alaska","733391","475967","257424","0",
"0400000US04","Arizona","7151502","6385230","766272","0",
"0400000US05","Arkansas","3011524","1670677","1340847","0",
"0400000US06","California","39538223","37259490","2278733","0",
"0400000US08","Colorado","5773714","4966936","806778","0",
"0400000US09","Connecticut","3605944","3110153","495791","0",
"0400000US10","Delaware","989948","817817","172131","0",
"0400000US11","District of Columbia","689545","689545","0","0",
"0400000US12","Florida","21538187","19714806","1823381","0",
"0400000US13","Georgia","10711908","7933986","2777922","0",
"0400000US15","Hawaii","1455271","1252450","202821","0",
"0400000US16","Idaho","1839106","1273437","565669","0",
"0400000US17","Illinois","12812508","11137590","1674918","0",
"0400000US18","Indiana","6785528","4829686","1955842","0",
"0400000US19","Iowa","3190369","2014831","1175538","0",
"0400000US20","Kansas","2937880","2124059","813821","0",
"0400000US21","Kentucky","4505836","2644856","1860980","0",
"0400000US22","Louisiana","4657757","3332237","1325520","0",
"0400000US23","Maine","1362359","526309","836050","0",
"0400000US24","Maryland","6177224","5288760","888464","0",
"0400000US25","Massachusetts","7029917","6416895","613022","0",
"0400000US26","Michigan","10077331","7404258","2673073","0",
"0400000US27","Minnesota","5706494","4101754","1604740","0",
"0400000US28","Mississippi","2961279","1370790","1590489","0",
"0400000US29","Missouri","6154913","4275663","1879250","0",
"0400000US30","Montana","1084225","579177","505048","0",
"0400000US31","Nebraska","1961504","1432003","529501","0",
"0400000US32","Nevada","3104614","2921203","183411","0",
"0400000US33","New Hampshire","1377529","803420","574109","0",
"0400000US34","New Jersey","9288994","8708779","580215","0",
"0400000US35","New Mexico","2117522","1578552","538970","0",
"0400000US36","New York","20201249","17665166","2536083","0",
"0400000US37","North Carolina","10439388","6964727","3474661","0",
"0400000US38","North Dakota","779094","474989","304105","0",
"0400000US39","Ohio","11799448","9001099","2798349","0",
"0400000US40","Oklahoma","3959353","2558611","1400742","0",
"0400000US41","Oregon","4237256","3410984","826272","0",
"0400000US42","Pennsylvania","13002700","9941070","3061630","0",
"0400000US44","Rhode Island","1097379","999191","98188","0",
"0400000US45","South Carolina","5118425","3477869","1640556","0",
"0400000US46","South Dakota","886667","507347","379320","0",
"0400000US47","Tennessee","6910840","4577282","2333558","0",
"0400000US48","Texas","29145505","24400697","4744808","0",
"0400000US49","Utah","3271616","2937303","334313","0",
"0400000US50","Vermont","643077","225850","417227","0",
"0400000US51","Virginia","8631393","6528313","2103080","0",
"0400000US53","Washington","7705281","6424035","1281246","0",
"0400000US54","West Virginia","1793716","800857","992859","0",
"0400000US55","Wisconsin","5893718","3953691","1940027","0",
"0400000US56","Wyoming","576851","357750","219101","0",
"0400000US72","Puerto Rico","3285874","3018908","266966","0",
