State,Handle,Revenue,Hold,Taxes
Arizona,,,,
Arkansas,,24305962,,3159775
Colorado,,,,
Connecticut,,,,
Delaware,132488380,,,
Florida,,,,
Illinois,,,,
Indiana,435996520,41576946,0.1244,3931772
Iowa,212225668,19283690,0.1224,1301649
Kansas,,,,
Kentucky,,,,
Louisiana,,,,
Maine,,,,
Maryland,,,,
Massachusetts,,,,
Michigan,,,,
Mississippi,369173582,44451372,0.1158,4889651
Missouri,,,,
Montana,,,,
Nebraska,,,,
Nevada,,,,
New Hampshire,360726,44759,0.1241,19403
New Jersey,4582898150,299398035,0.0645,42664220
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oregon,,,,
Pennsylvania,1490167111,111726711,0.0833,30280668
Rhode Island,245811496,17806694,0.0745,9081414
South Dakota,,,,
Tennessee,,,,
Vermont,,,,
Virginia,,,,
Washington,,,,
Washington D.C.,,,,
West Virginia,,,,
Wyoming,,,,
Total,7469121633,558594169,0.0893,95328552
