Month,Handle,Revenue,Hold,Taxes
January 2024,13794238294,1522127950,0.1186,295527519
February 2024,11244851004,918756796,0.0867,175504685
March 2024,14123356810,1113491884,0.0779,220644620
April 2024,12064036551,1195443351,0.0958,241770776
May 2024,11039913094,1183436281,0.1051,247360968
June 2024,9111174491,927051694,0.0962,181882902
July 2024,7940238975,895086200,0.1175,186120154
August 2024,9073983327,794618064,0.0968,165147933
September 2024,13961173084,1563392753,0.1211,314876590
October 2024,15152489113,1110160290,0.0707,231395768
November 2024,16162494258,1730661017,0.1152,364048920
December 2024,15738884779,969889172,0.0547,213977428
Total,149406833779,13924115452,0.0964,2838258264
