ID,State,Year,Revenue,longitude,latitude
arizona,Arizona,2024,427397087,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2024,107275202,-92.44012653057223,34.90418476401205
colorado,Colorado,2024,475176731,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2024,187349516,-72.7259793835999,41.625657209666336
delaware,Delaware,2024,14585100,-75.51491652896254,39.00558251865384
florida,Florida,2024,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2024,1866642282,-89.2000650218026,40.07010001302035
indiana,Indiana,2024,484278308,-86.27759301376952,39.916748096917196
iowa,Iowa,2024,218482781,-93.49368698911313,42.08624292336576
kansas,Kansas,2024,145263244,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2024,272086697,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2024,461224426,-92.00829838432962,31.084595370635824
maine,Maine,2024,55388488,-69.23425350998068,45.40708070618306
maryland,Maryland,2024,629812059,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2024,670694019,-71.82097940602183,42.25818280715043
michigan,Michigan,2024,481495654,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2024,43344188,-89.6704742748726,32.757672304048896
missouri,Missouri,2024,NA,-92.48330566387827,38.37653509207976
montana,Montana,2024,7186894,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2024,4639250,-99.81265319257986,41.52550200485405
nevada,Nevada,2024,482121000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2024,78996303,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2024,1094630610,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2024,NA,-106.1121305120958,34.41656191159888
new york,New York,2024,2059297238,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2024,583645811,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2024,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2024,904187897,-82.7971819537273,40.304126629547866
oregon,Oregon,2024,80932000,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2024,778420570,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2024,38051914,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2024,920918,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2024,485802815,-86.33578242967911,35.84450970469765
vermont,Vermont,2024,27347988,-72.66686003160213,44.077587227788996
virginia,Virginia,2024,615044067,-78.84037603406514,37.518280076316486
washington,Washington,2024,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2024,65866101,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2024,22810652,-107.55736087934403,43.00390475679936
arizona,Arizona,2023,348185390,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2023,103188842,-92.44012653057223,34.90418476401205
colorado,Colorado,2023,391946267,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2023,131142055,-72.7259793835999,41.625657209666336
delaware,Delaware,2023,10003849,-75.51491652896254,39.00558251865384
florida,Florida,2023,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2023,1535383261,-89.2000650218026,40.07010001302035
indiana,Indiana,2023,404363766,-86.27759301376952,39.916748096917196
iowa,Iowa,2023,198810523,-93.49368698911313,42.08624292336576
kansas,Kansas,2023,182415461,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2023,109824864,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2023,289778947,-92.00829838432962,31.084595370635824
maine,Maine,2023,9020360,-69.23425350998068,45.40708070618306
maryland,Maryland,2023,514081188,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2023,483666398,-71.82097940602183,42.25818280715043
michigan,Michigan,2023,434438031,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2023,51224141,-89.6704742748726,32.757672304048896
missouri,Missouri,2023,NA,-92.48330566387827,38.37653509207976
montana,Montana,2023,8446611,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2023,1779458,-99.81265319257986,41.52550200485405
nevada,Nevada,2023,481393000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2023,80288654,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2023,1006681602,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2023,NA,-106.1121305120958,34.41656191159888
new york,New York,2023,1689883800,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2023,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2023,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2023,935585152,-82.7971819537273,40.304126629547866
oregon,Oregon,2023,21429000,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2023,686915514,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2023,40277816,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2023,1028440,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2023,417787565,-86.33578242967911,35.84450970469765
vermont,Vermont,2023,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2023,481978027,-78.84037603406514,37.518280076316486
washington,Washington,2023,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2023,34268729,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2023,17293948,-107.55736087934403,43.00390475679936
arizona,Arizona,2022,289146940,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2022,88448329,-92.44012653057223,34.90418476401205
colorado,Colorado,2022,351950255,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2022,95217811,-72.7259793835999,41.625657209666336
delaware,Delaware,2022,8884122,-75.51491652896254,39.00558251865384
florida,Florida,2022,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2022,1215977220,-89.2000650218026,40.07010001302035
indiana,Indiana,2022,386888311,-86.27759301376952,39.916748096917196
