State,Handle,Revenue,Hold,Taxes
Arizona,,,,
Arkansas,,51013027,,6631694
Colorado,1185754618,75841207,0.0724,2965322
Connecticut,,,,
Delaware,90242755,,,
Florida,,,,
Illinois,1882633110,193841046,0.1007,20191144
Indiana,1769270606,136395416,0.0757,13165417
Iowa,575248472,41623877,0.0710,2809612
Kansas,,,,
Kentucky,,,,
Louisiana,,,,
Maine,,,,
Maryland,,,,
Massachusetts,,,,
Michigan,130763498,18276857,0.1476,1535256
Mississippi,363775649,43865991,0.1322,4825259
Missouri,,,,
Montana,18770480,2369041,0.2268,201368
Nebraska,,,,
Nevada,3069819074,200943000,0.0610,13563653
New Hampshire,292550269,23638791,0.0800,11010088
New Jersey,6016417596,398231302,0.0685,56747961
New Mexico,,,,
New York,,,,
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oregon,,,,
Pennsylvania,3580864477,269903946,0.0747,68293248
Rhode Island,221916076,24067477,0.0922,12274413
South Dakota,,,,
Tennessee,312344523,27219590,0.0875,5443918
Vermont,,,,
Virginia,,,,
Washington,,,,
Washington D.C.,80483898,13493278,0.1448,2970568
West Virginia,279635041,21065181,0.0810,1790540
Wyoming,,,,
Total,19870490143,1541789027,0.1006,224419460
