Month,Handle,Revenue,Hold,Taxes
January 2019,485663469,24338013,0.0545,4003247
February 2019,406412787,16545371,0.0420,2364260
March 2019,483466025,43635683,0.1064,7828307
April 2019,392625471,29465174,0.1016,5774096
May 2019,397134098,20855880,0.0611,3881539
June 2019,355810016,16976531,0.0890,3446746
July 2019,336329535,25206095,0.0837,4160850
August 2019,445891437,45553281,0.1317,7283935
September 2019,792677079,83281043,0.1351,14417000
October 2019,959674825,100873885,0.1258,16638213
November 2019,1190450477,78961114,0.0684,13550248
December 2019,1222986414,72902098,0.0719,11980111
Total,7469121633,558594169,0.0893,95328552
