State,Handle,Revenue,Hold,Taxes
Arizona,6036844930,289146940,0.0485,28914694
Arkansas,,88448329,,11498283
Colorado,5181758903,351950255,0.0680,19634715
Connecticut,1519890754,95217811,0.0629,13235612
Delaware,82472393,8884122,0.1794,6548945
Florida,,,,
Illinois,9751301251,1215977220,0.1237,128699018
Indiana,4467882215,386888311,0.0882,36797945
Iowa,2348065964,165551990,0.0749,11174759
Kansas,718777570,76505901,0.1075,2092630
Kentucky,,,,
Louisiana,2302509284,228038413,0.0964,34205762
Maine,,,,
Maryland,979584836,149480586,0.1305,6100504
Massachusetts,,,,
Michigan,4814088969,418647137,0.0883,35166360
Mississippi,531951766,60816325,0.1161,6689796
Missouri,,,,
Montana,50918515,7173449,0.1392,609743
Nebraska,,,,
Nevada,8778559722,449698000,0.0503,30354615
New Hampshire,891727580,66714384,0.0762,30969398
New Jersey,10944593978,762954971,0.0732,108721083
New Mexico,,,,
New York,16288073154,1359067098,0.0850,693124220
North Carolina,,,,
North Dakota,,,,
Ohio,,,,
Oregon,,,,
Pennsylvania,7251428758,597364960,0.0837,144434920
Rhode Island,532609814,49298062,0.0930,25142012
South Dakota,7192828,898981,0.1225,80908
Tennessee,3850547906,340264805,0.0882,68052961
Vermont,,,,
Virginia,4914954449,345104567,0.0700,51765685
Washington,,,,
Washington D.C.,216232122,23209854,0.1068,6220861
West Virginia,585819465,51704386,0.0903,4394873
Wyoming,144522130,14787230,0.1010,843171
Total,93192309257,7606257132,0.0917,1505473473
