"","Year","State","Handle","Revenue","Hold","Taxes"
"1",2018,"Arizona",NA,NA,NA,NA
"2",2018,"Arkansas",NA,NA,NA,NA
"3",2018,"Colorado",NA,NA,NA,NA
"4",2018,"Connecticut",NA,NA,NA,NA
"5",2018,"Delaware",115351865,NA,NA,NA
"6",2018,"Florida",NA,NA,NA,NA
"7",2018,"Illinois",NA,NA,NA,NA
"8",2018,"Indiana",NA,NA,NA,NA
"9",2018,"Iowa",NA,NA,NA,NA
"10",2018,"Kansas",NA,NA,NA,NA
"11",2018,"Kentucky",NA,NA,NA,NA
"12",2018,"Louisiana",NA,NA,NA,NA
"13",2018,"Maine",NA,NA,NA,NA
"14",2018,"Maryland",NA,NA,NA,NA
"15",2018,"Massachusetts",NA,NA,NA,NA
"16",2018,"Michigan",NA,NA,NA,NA
"17",2018,"Mississippi",158565586,15175668,9.57,1669323
"18",2018,"Missouri",NA,NA,NA,NA
"19",2018,"Montana",NA,NA,NA,NA
"20",2018,"Nebraska",NA,NA,NA,NA
"21",2018,"Nevada",NA,NA,NA,NA
"22",2018,"New Hampshire",NA,NA,NA,NA
"23",2018,"New Jersey",1247307720,94022393,10.07,13398191
"24",2018,"New Mexico",NA,NA,NA,NA
"25",2018,"New York",NA,NA,NA,NA
"26",2018,"North Carolina",NA,NA,NA,NA
"27",2018,"North Dakota",NA,NA,NA,NA
"28",2018,"Ohio",NA,NA,NA,NA
"29",2018,"Oregon",NA,NA,NA,NA
"30",2018,"Pennsylvania",17587677,2516589,24.2,905972
"31",2018,"Rhode Island",13770713,1030910,9.01,525764
"32",2018,"South Dakota",NA,NA,NA,NA
"33",2018,"Tennessee",NA,NA,NA,NA
"34",2018,"Vermont",NA,NA,NA,NA
"35",2018,"Virginia",NA,NA,NA,NA
"36",2018,"Washington",NA,NA,NA,NA
"37",2018,"Washington D.C.",NA,NA,NA,NA
"38",2018,"West Virginia",NA,NA,NA,NA
"39",2018,"Wyoming",NA,NA,NA,NA
"40",2019,"Arizona",NA,NA,NA,NA
"41",2019,"Arkansas",NA,24305962,NA,3159775
"42",2019,"Colorado",NA,NA,NA,NA
"43",2019,"Connecticut",NA,NA,NA,NA
"44",2019,"Delaware",132488380,NA,NA,NA
"45",2019,"Florida",NA,NA,NA,NA
"46",2019,"Illinois",NA,NA,NA,NA
"47",2019,"Indiana",435996520,41576946,12.44,3931772
"48",2019,"Iowa",212225668,19283690,12.24,1301649
"49",2019,"Kansas",NA,NA,NA,NA
"50",2019,"Kentucky",NA,NA,NA,NA
"51",2019,"Louisiana",NA,NA,NA,NA
"52",2019,"Maine",NA,NA,NA,NA
"53",2019,"Maryland",NA,NA,NA,NA
"54",2019,"Massachusetts",NA,NA,NA,NA
"55",2019,"Michigan",NA,NA,NA,NA
"56",2019,"Mississippi",369173582,44451372,11.58,4889651
"57",2019,"Missouri",NA,NA,NA,NA
"58",2019,"Montana",NA,NA,NA,NA
"59",2019,"Nebraska",NA,NA,NA,NA
"60",2019,"Nevada",NA,NA,NA,NA
"61",2019,"New Hampshire",360726,44759,12.41,19403
"62",2019,"New Jersey",4582898150,299398035,6.45,42664220
"63",2019,"New Mexico",NA,NA,NA,NA
"64",2019,"New York",NA,NA,NA,NA
"65",2019,"North Carolina",NA,NA,NA,NA
"66",2019,"North Dakota",NA,NA,NA,NA
"67",2019,"Ohio",NA,NA,NA,NA
"68",2019,"Oregon",NA,NA,NA,NA
"69",2019,"Pennsylvania",1490167111,111726711,8.33,30280668
"70",2019,"Rhode Island",245811496,17806694,7.45,9081414
"71",2019,"South Dakota",NA,NA,NA,NA
"72",2019,"Tennessee",NA,NA,NA,NA
"73",2019,"Vermont",NA,NA,NA,NA
"74",2019,"Virginia",NA,NA,NA,NA
"75",2019,"Washington",NA,NA,NA,NA
"76",2019,"Washington D.C.",NA,NA,NA,NA
"77",2019,"West Virginia",NA,NA,NA,NA
"78",2019,"Wyoming",NA,NA,NA,NA
"79",2020,"Arizona",NA,NA,NA,NA
"80",2020,"Arkansas",NA,51013027,NA,6631694
